slug,tier,portal_url,source
3m,F500,https://developer.3m.com/s/,apis.yml_strong
a-mark-precious-metals,F500,,no_portal
abbott-laboratories,F500,https://www.abbott.com/en-us/partners.html,apis.yml_strong
abbvie,F100,,no_portal
abercrombie-and-fitch,F1000,https://corporate.abercrombie.com/,apis.yml_strong
abm-industries,F500,https://connect.abm.com/,apis.yml_strong
academy-sports-and-outdoors,F1000,,no_portal
acadia-healthcare,F1000,https://developer.acadiahealthcare.com/docs,apis.yml_medium
acuity-brands,F1000,https://api-docs.acuitybrands.com/,apis.yml_strong
adams-resources-and-energy,F1000,https://www.adamsresources.com,apis.yml_strong
adapthealth,F1000,,no_portal
adobe,F500,https://developer.adobe.com/,apis.yml_strong
adt,F1000,https://www.adt.com/smart-home,apis.yml_strong
advance-auto-parts,F500,https://www.advanceautoparts.com/i/help,apis.yml_strong
advanced-drainage-systems,F1000,,no_portal
advanced-micro-devices,F500,https://developer.amd.com,apis.yml_strong
advantage-solutions,F1000,,no_portal
aecom,F500,https://www.aecom.com,apis.yml_strong
aes,F500,https://www.aes.com/,apis.yml_strong
aflac,F500,https://docs.enterprise-connect.aflac.com,apis.yml_strong
agco,F500,https://get.agcoconnect.com/,apis.yml_strong
agilent-technologies,F1000,https://help.ilab.agilent.com/ilab-api,web_verified
agilon-health,F1000,,no_portal
agnc-investment,F1000,,no_portal
aig,F100,https://myaig.aig.com,apis.yml_strong
air-lease,F1000,,no_portal
air-products-and-chemicals,F500,https://investors.airproducts.com/,apis.yml_strong
airbnb,F500,https://developer.withairbnb.com/,apis.yml_strong
akamai-technologies,F1000,https://developer.akamai.com/docs,apis.yml_medium
alaska-air,F500,https://developers.alaskaair.com/,apis.yml_strong
albemarle,F500,https://www.albemarle.com/us/en/what-we-offer,apis.yml_strong
albertsons,F100,https://portal-prod.apim.azwestus.stratus.albertsons.com/,apis.yml_strong
alcoa,F500,https://www.alcoa.com/global/en/what-we-do/products-and-solutions,apis.yml_strong
alexandria-real-estate-equities,F1000,,no_portal
alight,F1000,https://developer.alight.com,web_verified
align-technology,F1000,,no_portal
allegiant-travel,F1000,,no_portal
alliance-resource-partners,F1000,https://developer.arlp.com/docs,apis.yml_medium
alliant-energy,F1000,,no_portal
allison-transmission-holdings,F1000,,no_portal
allstate,F100,https://developer.allstate.com,web_verified
ally-financial,F500,https://www.ally.com/api/invest/documentation/,web_verified
alpha-metallurgical-resources,F1000,,no_portal
alphabet,F100,https://developers.google.com,web_verified
altice-usa,F500,,no_portal
altria,F500,https://developer.insightsc3m.com,web_verified
amazon,F100,https://developer.amazon.com/,apis.yml_strong
amc-entertainment-holdings,F1000,https://developers.amctheatres.com,apis.yml_strong
amc-networks,F1000,https://affiliate.amcnetworks.com/,apis.yml_strong
amerco,F1000,https://www.uhaul.com/Dealer/,apis.yml_strong
ameren,F500,https://www.ameren.com/partners/account-and-data/share-my-usage,apis.yml_strong
american-airlines,F100,https://developer.aa.com/,apis.yml_strong
american-axle-and-manufacturing,F1000,https://www.aam.com/suppliers,apis.yml_strong
american-eagle-outfitters,F1000,https://www.americaneagle.com,apis.yml_strong
